test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
1.0,11200.0,0.865,2240.0,0.10081206,0.07720022,111,0.20124167,-1.7359028,0.83686423
1.0,11300.0,0.935,2260.0,0.10108512,0.07714532,112,0.20122403,-1.7895361,0.83682245
0.95,11400.0,0.9199999999999999,2280.0,0.10131284,0.07708456,113,0.20121296,-1.319526,0.8368258
1.0,11500.0,0.925,2300.0,0.101666406,0.07710952,114,0.20121983,-1.8951186,0.8368654
0.95,11600.0,0.92,2320.0,0.10182407,0.077028304,115,0.20120864,-2.0127063,0.83684635
0.95,11700.0,0.885,2340.0,0.10211978,0.07700414,116,0.20121841,-1.4309766,0.8368289
0.95,11800.0,0.945,2360.0,0.10228803,0.07692336,117,0.2012235,-1.8718233,0.8368084
0.95,11900.0,0.91,2380.0,0.10251004,0.076944105,118,0.20128368,-1.4356027,0.83684975
1.0,12000.0,0.905,2400.0,0.10266726,0.076922484,119,0.20129754,-2.099276,0.8368595
0.95,12100.0,0.93,2420.0,0.10280749,0.07688994,120,0.20130423,-1.3736693,0.8368518
0.95,12200.0,0.935,2440.0,0.10299954,0.07683676,121,0.2013028,-1.2108603,0.8367932
0.9,12300.0,0.9450000000000001,2460.0,0.10317445,0.076761566,122,0.20134294,-1.6407464,0.83683187
1.0,12400.0,0.925,2480.0,0.10334223,0.076758526,123,0.20138007,-1.1811142,0.83687043
0.95,12500.0,0.9299999999999999,2500.0,0.10347093,0.07669288,124,0.20137951,-1.6525661,0.8368527
1.0,12600.0,0.945,2520.0,0.10368392,0.07663711,125,0.20138542,-1.329535,0.83684486
0.95,12700.0,0.95,2540.0,0.103855535,0.07655859,126,0.20141555,-1.1005718,0.83691335
1.0,12800.0,0.95,2560.0,0.10407927,0.07647958,127,0.20144632,-1.3054066,0.8369426
0.95,12900.0,0.91,2580.0,0.10438256,0.07644783,128,0.20146638,-1.1347992,0.8369548
1.0,13000.0,0.905,2600.0,0.104602106,0.07643829,129,0.20151609,-2.0522203,0.8369872
0.95,13100.0,0.93,2620.0,0.104729675,0.076411895,130,0.20152509,-1.1734293,0.83700293
1.0,13200.0,0.935,2640.0,0.10483247,0.07636359,131,0.20152868,-1.3238819,0.8370281
1.0,13300.0,0.94,2660.0,0.10499259,0.076319724,132,0.2015021,-1.2249954,0.8370629
0.95,13400.0,0.955,2680.0,0.10513844,0.0762935,133,0.20153469,-1.2628934,0.83706236
1.0,13500.0,0.8999999999999999,2700.0,0.10526803,0.07621458,134,0.20153537,-1.3775041,0.8370699
