stats_g/std,stats_g/mean,epoch,stats_o/std,train/episode,test/episode,train/success_rate,test/success_rate,stats_o/mean,test/mean_Q
0.17848122,0.7773308,136,0.09659407,2740.0,2740.0,0.125,0.175,0.17896777,-15.861955
0.17844342,0.7776243,137,0.096610785,2760.0,2760.0,0.025,0.2,0.17905465,-17.045609
0.17855997,0.7777454,138,0.09668303,2780.0,2780.0,0.15000000000000002,0.3,0.1790305,-16.391083
0.17831212,0.7780578,139,0.096560344,2800.0,2800.0,0.125,0.275,0.17908314,-15.320429
0.17822845,0.7783983,140,0.0966957,2820.0,2820.0,0.15000000000000002,0.2,0.17916504,-17.693846
0.17812489,0.7787028,141,0.09672493,2840.0,2840.0,0.15000000000000002,0.35,0.17921425,-15.129736
0.17804204,0.7789692,142,0.09668135,2860.0,2860.0,0.125,0.3,0.17929491,-15.229855
0.17819081,0.7792247,143,0.09663207,2880.0,2880.0,0.125,0.2,0.17935134,-16.308083
0.17797528,0.7796239,144,0.0965408,2900.0,2900.0,0.125,0.32499999999999996,0.17940122,-14.388227
0.1778035,0.7798672,145,0.096434504,2920.0,2920.0,0.15000000000000002,0.2,0.17944273,-17.727325
0.17779173,0.7800923,146,0.09638275,2940.0,2940.0,0.2,0.25,0.17950019,-17.416885
0.17787613,0.7804454,147,0.09632161,2960.0,2960.0,0.07500000000000001,0.25,0.17955562,-17.111464
0.17771484,0.7806731,148,0.09624611,2980.0,2980.0,0.15000000000000002,0.375,0.17962456,-14.802285
0.17757976,0.78090113,149,0.09618807,3000.0,3000.0,0.075,0.30000000000000004,0.1797029,-15.482676
0.17765927,0.78114897,150,0.096264735,3020.0,3020.0,0.2,0.275,0.17975909,-16.350777
0.17747699,0.7815457,151,0.09625397,3040.0,3040.0,0.07500000000000001,0.425,0.17985526,-14.484775
0.17749035,0.78181076,152,0.09637115,3060.0,3060.0,0.125,0.275,0.1798982,-14.855181
0.17730297,0.78209186,153,0.09640802,3080.0,3080.0,0.07500000000000001,0.225,0.17995396,-14.754061
0.17715001,0.7823339,154,0.096303664,3100.0,3100.0,0.15000000000000002,0.3,0.18000725,-14.080319
0.17705758,0.78253794,155,0.09620038,3120.0,3120.0,0.07500000000000001,0.625,0.18003152,-10.513018
0.17687446,0.7828052,156,0.09609291,3140.0,3140.0,0.125,0.275,0.18006487,-16.388725
0.17669715,0.783027,157,0.09599146,3160.0,3160.0,0.07500000000000001,0.4,0.18008925,-13.608789
0.17664726,0.78319234,158,0.09609494,3180.0,3180.0,0.125,0.45,0.18011849,-12.405155
0.17661397,0.7834976,159,0.09619389,3200.0,3200.0,0.15,0.275,0.1801401,-15.177509
0.17658888,0.7837033,160,0.09614077,3220.0,3220.0,0.1,0.275,0.18017195,-14.22839
0.17673312,0.7840364,161,0.09610662,3240.0,3240.0,0.15000000000000002,0.375,0.18024579,-15.887813
0.17665815,0.7841585,162,0.0961456,3260.0,3260.0,0.05,0.4,0.18028389,-13.42185
0.17670362,0.7842671,163,0.09610503,3280.0,3280.0,0.175,0.525,0.1803158,-12.424873
0.1767711,0.7845607,164,0.09619308,3300.0,3300.0,0.05,0.275,0.18038602,-14.861799
0.17663962,0.7848154,165,0.096138515,3320.0,3320.0,0.175,0.25,0.18046099,-14.334024
0.176591,0.78502876,166,0.09608823,3340.0,3340.0,0.225,0.275,0.1805099,-15.986537
0.17645954,0.7852194,167,0.09602905,3360.0,3360.0,0.22499999999999998,0.25,0.18053313,-14.977176
0.1763982,0.7854755,168,0.09606606,3380.0,3380.0,0.07500000000000001,0.25,0.1806134,-15.967511
0.17625445,0.78579503,169,0.09603824,3400.0,3400.0,0.175,0.3,0.18070234,-16.07906
0.17605825,0.78596854,170,0.095994085,3420.0,3420.0,0.22499999999999998,0.3,0.18073867,-15.033724
0.17597423,0.7862861,171,0.09597741,3440.0,3440.0,0.1,0.025,0.18077539,-16.978096
0.17585485,0.7865264,172,0.095927745,3460.0,3460.0,0.175,0.275,0.18082483,-16.66497
0.17586808,0.78668594,173,0.095879145,3480.0,3480.0,0.2,0.425,0.18087083,-13.690941
0.17567064,0.7868178,174,0.095814936,3500.0,3500.0,0.2,0.35,0.18089116,-15.541948
0.17546153,0.78699774,175,0.09574484,3520.0,3520.0,0.125,0.22499999999999998,0.18092218,-16.55351
0.1753544,0.7871416,176,0.095674604,3540.0,3540.0,0.1,0.35,0.18095562,-12.771577
0.17532237,0.7873662,177,0.09564189,3560.0,3560.0,0.2,0.32499999999999996,0.18098953,-13.256363
0.17515005,0.787595,178,0.0956206,3580.0,3580.0,0.175,0.30000000000000004,0.18102072,-13.950899
0.17504694,0.7878204,179,0.095580906,3600.0,3600.0,0.1,0.4,0.18107153,-14.266678
0.17510544,0.7881965,180,0.09578642,3620.0,3620.0,0.125,0.275,0.18114077,-15.313594
0.1751238,0.78853655,181,0.09579625,3640.0,3640.0,0.1,0.15,0.18117824,-16.15318
0.17512764,0.7887003,182,0.09577264,3660.0,3660.0,0.15,0.4,0.18122211,-13.93425
0.17506309,0.7888128,183,0.09580371,3680.0,3680.0,0.175,0.425,0.18123162,-13.206614
0.17508031,0.78904104,184,0.09580478,3700.0,3700.0,0.275,0.2,0.18128526,-16.901703
0.17503776,0.78923863,185,0.095831215,3720.0,3720.0,0.07500000000000001,0.275,0.18132427,-15.468273
0.17497921,0.7894588,186,0.09581164,3740.0,3740.0,0.275,0.35,0.18137494,-13.846629
0.1749299,0.7896238,187,0.0957838,3760.0,3760.0,0.225,0.3,0.18143062,-16.88519
0.17475872,0.7898516,188,0.09573226,3780.0,3780.0,0.22499999999999998,0.475,0.18148951,-11.950394
0.17450301,0.78997,189,0.09564625,3800.0,3800.0,0.25,0.30000000000000004,0.18150166,-13.114844
0.17443077,0.7902682,190,0.09561768,3820.0,3820.0,0.2,0.5,0.18154785,-11.934374
0.17428493,0.7904839,191,0.09561934,3840.0,3840.0,0.1,0.575,0.18155849,-12.048687
0.17418455,0.7906769,192,0.095561735,3860.0,3860.0,0.25,0.3,0.18159533,-13.080775
0.17406195,0.7909433,193,0.09553317,3880.0,3880.0,0.225,0.525,0.18164572,-12.786446
0.17390972,0.79118234,194,0.09548261,3900.0,3900.0,0.175,0.375,0.18166117,-15.410095
0.17381997,0.79143715,195,0.09542629,3920.0,3920.0,0.125,0.45,0.18167919,-12.015711
0.17381583,0.7915942,196,0.0953937,3940.0,3940.0,0.07500000000000001,0.225,0.18167704,-16.283146
0.17376369,0.7917629,197,0.095344245,3960.0,3960.0,0.125,0.375,0.181702,-14.373914
0.17361547,0.79186445,198,0.09530452,3980.0,3980.0,0.15,0.45,0.18170968,-11.927923
0.1734817,0.79204196,199,0.09524929,4000.0,4000.0,0.15000000000000002,0.375,0.18173482,-14.756186
0.17331322,0.7922334,200,0.09526815,4020.0,4020.0,0.225,0.32499999999999996,0.18177304,-14.383199
0.1733362,0.7924223,201,0.09524972,4040.0,4040.0,0.1,0.47500000000000003,0.18179238,-11.892751
0.17327356,0.7925857,202,0.09522639,4060.0,4060.0,0.125,0.30000000000000004,0.1818176,-13.85198
0.17334275,0.79269814,203,0.095215246,4080.0,4080.0,0.175,0.4,0.18183747,-13.99252
0.17331795,0.7929692,204,0.09515626,4100.0,4100.0,0.15,0.375,0.18187545,-14.591773
0.17316575,0.7930681,205,0.09513872,4120.0,4120.0,0.05,0.35,0.18190481,-15.192941
0.17298888,0.7932432,206,0.095069334,4140.0,4140.0,0.15000000000000002,0.475,0.1819266,-13.209255
0.17297511,0.7934467,207,0.09509654,4160.0,4160.0,0.15,0.32499999999999996,0.18197577,-15.925132
0.17287421,0.7936693,208,0.09503013,4180.0,4180.0,0.25,0.275,0.18203123,-15.796989
0.17281646,0.7939468,209,0.094966404,4200.0,4200.0,0.175,0.4,0.1820815,-13.340424
0.17269365,0.7941213,210,0.094913594,4220.0,4220.0,0.07500000000000001,0.325,0.1820971,-15.293204
0.1726733,0.7942813,211,0.094943345,4240.0,4240.0,0.1,0.275,0.1821042,-15.917656
0.17256765,0.79439163,212,0.09493558,4260.0,4260.0,0.125,0.525,0.18213995,-13.727992
0.17246614,0.7945452,213,0.09487547,4280.0,4280.0,0.25,0.475,0.18218267,-13.357997
0.17240621,0.7946515,214,0.09486063,4300.0,4300.0,0.225,0.325,0.18219203,-16.479029
0.17241402,0.794842,215,0.09494127,4320.0,4320.0,0.175,0.3,0.1822386,-14.638089
0.17229097,0.79503614,216,0.094880745,4340.0,4340.0,0.2,0.45,0.18229376,-12.619881
0.17215545,0.79518455,217,0.09480714,4360.0,4360.0,0.1,0.375,0.18233223,-14.064276
0.17198431,0.79542375,218,0.094714224,4380.0,4380.0,0.25,0.44999999999999996,0.18238848,-15.8794
0.17198579,0.7954976,219,0.094744004,4400.0,4400.0,0.1,0.35,0.182416,-15.677305
0.17191549,0.79567766,220,0.094848506,4420.0,4420.0,0.125,0.175,0.18242449,-19.545963
0.17191182,0.7958157,221,0.09481392,4440.0,4440.0,0.175,0.3,0.1824748,-15.383099
0.17177778,0.7960017,222,0.09475695,4460.0,4460.0,0.15,0.3,0.18250157,-14.863538
0.17173602,0.79617053,223,0.09473757,4480.0,4480.0,0.125,0.2,0.18251982,-19.348492
0.17171806,0.79638714,224,0.09471082,4500.0,4500.0,0.15,0.4,0.18256404,-16.266285
0.17163002,0.7966196,225,0.094763316,4520.0,4520.0,0.275,0.475,0.18261428,-15.750527
0.17149727,0.7967716,226,0.09471879,4540.0,4540.0,0.2,0.575,0.18265127,-12.288656
0.1713743,0.7969876,227,0.09468403,4560.0,4560.0,0.125,0.25,0.18268836,-13.959663
0.17128243,0.79715747,228,0.09469469,4580.0,4580.0,0.125,0.4,0.18269832,-12.760929
0.1713612,0.79725116,229,0.094805986,4600.0,4600.0,0.15,0.42500000000000004,0.18272251,-15.090051
0.17124617,0.7973705,230,0.09479553,4620.0,4620.0,0.25,0.425,0.18275686,-14.347599
0.17111059,0.7975783,231,0.09474267,4640.0,4640.0,0.25,0.3,0.18278328,-16.34218
0.17127539,0.79771394,232,0.09475542,4660.0,4660.0,0.05,0.375,0.18281406,-15.928801
0.17116953,0.79794526,233,0.09479728,4680.0,4680.0,0.125,0.375,0.1828183,-15.214292
0.17117958,0.7981122,234,0.09487357,4700.0,4700.0,0.1,0.4,0.18284602,-12.938634
0.1712559,0.79831934,235,0.094891556,4720.0,4720.0,0.07500000000000001,0.25,0.18289062,-14.040181
0.17114894,0.7985169,236,0.0948351,4740.0,4740.0,0.2,0.3,0.18291564,-15.70439
0.17119658,0.798645,237,0.09495349,4760.0,4760.0,0.15000000000000002,0.45,0.18293107,-14.066004
0.171049,0.7988553,238,0.094921395,4780.0,4780.0,0.15000000000000002,0.30000000000000004,0.18298006,-16.170296
0.17118414,0.7990888,239,0.09506221,4800.0,4800.0,0.1,0.3,0.18303245,-17.418125
0.17113817,0.7992999,240,0.0951485,4820.0,4820.0,0.125,0.4,0.18305811,-14.6329365
0.171291,0.79937077,241,0.095217235,4840.0,4840.0,0.125,0.55,0.1830684,-13.817757
0.17138661,0.79952234,242,0.09531624,4860.0,4860.0,0.175,0.45,0.18309724,-12.690596
0.17143762,0.7996435,243,0.095370844,4880.0,4880.0,0.15,0.3,0.18312454,-16.737988
0.17160054,0.7998204,244,0.09543828,4900.0,4900.0,0.125,0.375,0.18314809,-14.288281
0.17163064,0.7999446,245,0.09542912,4920.0,4920.0,0.2,0.4,0.18317115,-16.37026
0.17167175,0.80016416,246,0.09551552,4940.0,4940.0,0.125,0.4,0.1832063,-13.81745
0.17173035,0.80038816,247,0.09560466,4960.0,4960.0,0.2,0.425,0.18324314,-14.028496
0.17171723,0.80057096,248,0.095696114,4980.0,4980.0,0.125,0.30000000000000004,0.18328485,-16.193459
0.17179395,0.8008306,249,0.09572629,5000.0,5000.0,0.07500000000000001,0.32499999999999996,0.18330675,-16.52311
0.17173682,0.80103606,250,0.095702305,5020.0,5020.0,0.22499999999999998,0.42500000000000004,0.18333231,-14.505089
0.17180283,0.8011249,251,0.095849514,5040.0,5040.0,0.175,0.325,0.18334362,-15.578985
0.17185469,0.8011596,252,0.09589887,5060.0,5060.0,0.175,0.32499999999999996,0.18335953,-16.841833
0.17184937,0.8013299,253,0.09595233,5080.0,5080.0,0.225,0.675,0.18339425,-10.470993
0.1718244,0.8015933,254,0.0959835,5100.0,5100.0,0.15,0.325,0.18344636,-12.9687
0.17179161,0.80174065,255,0.096038714,5120.0,5120.0,0.125,0.275,0.1834705,-13.589218
0.17179209,0.80189174,256,0.09603241,5140.0,5140.0,0.2,0.375,0.1835221,-16.752758
0.17183067,0.80211085,257,0.09604587,5160.0,5160.0,0.075,0.35,0.18357038,-14.736383
0.17180061,0.8022725,258,0.09602675,5180.0,5180.0,0.225,0.45,0.18361574,-12.602737
0.17174532,0.80244654,259,0.09605386,5200.0,5200.0,0.15,0.42500000000000004,0.1836366,-14.983777
0.17160274,0.8025689,260,0.096053034,5220.0,5220.0,0.30000000000000004,0.475,0.18365692,-11.67286
0.17159557,0.8027482,261,0.096059926,5240.0,5240.0,0.15000000000000002,0.35,0.18368937,-15.963308
0.17148991,0.8028783,262,0.096084096,5260.0,5260.0,0.15,0.35,0.18371452,-16.282894
0.1716549,0.80302566,263,0.09608967,5280.0,5280.0,0.125,0.32499999999999996,0.18372738,-17.299152
0.17168199,0.8031058,264,0.09616362,5300.0,5300.0,0.175,0.3,0.18376383,-13.99418
0.17178036,0.80318195,265,0.09628493,5320.0,5320.0,0.175,0.45,0.18378086,-13.297364
0.17174725,0.8033232,266,0.09627206,5340.0,5340.0,0.2,0.325,0.1837841,-18.144272
0.17184705,0.80347824,267,0.09633831,5360.0,5360.0,0.15000000000000002,0.55,0.1837734,-12.518923
