epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
128,0.09504458,0.17869365,2580.0,0.18491621,0.125,0.075,0.7786336,-12.819994,2580.0
129,0.09499601,0.17878385,2600.0,0.18473445,0.15000000000000002,0.05,0.77909476,-11.645189,2600.0
130,0.09505573,0.17881998,2620.0,0.18484765,0.275,0.175,0.77943015,-12.410966,2620.0
131,0.09505285,0.17881367,2640.0,0.18495585,0.35,0.125,0.7795338,-14.233776,2640.0
132,0.095053606,0.17890719,2660.0,0.18490209,0.2,0.1,0.780008,-15.4446125,2660.0
133,0.095048845,0.1789127,2680.0,0.18476176,.5,0.125,0.7801754,-14.998838,2680.0
134,0.0950686,0.17902504,2700.0,0.18455462,0.225,0.175,0.78055924,-13.997515,2700.0
135,0.0950706,0.17908232,2720.0,0.18452531,0.1,0.025,0.78098035,-14.514344,2720.0
136,0.095035136,0.17914248,2740.0,0.18436877,0.25,0.1,0.7812059,-15.563691,2740.0
137,0.095041774,0.1791965,2760.0,0.18447489,0.25,0.175,0.7815385,-14.207853,2760.0
138,0.09503495,0.17925036,2780.0,0.18458544,0.35,0.07500000000000001,0.7819664,-14.374397,2780.0
139,0.09539452,0.17933378,2800.0,0.18488155,0.35,0.075,0.78222394,-12.9032345,2800.0
140,0.09545261,0.17937762,2820.0,0.18491511,0.3,0.2,0.78244895,-14.176233,2820.0
141,0.09546801,0.17943826,2840.0,0.18488455,0.45,0.25,0.78281087,-15.147041,2840.0
142,0.09557033,0.1794978,2860.0,0.18496148,0.45,0.1,0.7831579,-15.753163,2860.0
143,0.09569539,0.17957011,2880.0,0.18520863,0.25,0.1,0.7836271,-14.635057,2880.0
144,0.09562042,0.17962867,2900.0,0.1850288,0.45,0.075,0.78398514,-13.375426,2900.0
145,0.09583334,0.17968231,2920.0,0.1850885,0.45,0.125,0.7843356,-15.735297,2920.0
146,0.09579539,0.17974119,2940.0,0.18511479,0.30,0.075,0.7845184,-14.557688,2940.0
147,0.09592265,0.17981671,2960.0,0.1851399,0.2,0.125,0.7847313,-15.226024,2960.0
148,0.09596081,0.17987923,2980.0,0.18498234,0.4,0.1,0.7850508,-15.098118,2980.0
149,0.09588874,0.17995793,3000.0,0.1848091,0.35,0.075,0.78537756,-16.076197,3000.0
150,0.09584579,0.18001331,3020.0,0.18480383,0.45,0.1,0.78563553,-11.770973,3020.0
151,0.09604085,0.18005328,3040.0,0.18485673,0.6,0.15,0.7858896,-13.3556795,3040.0
152,0.09629999,0.18005192,3060.0,0.18477501,0.35,0.1,0.78604335,-12.221676,3060.0
153,0.09651116,0.18003725,3080.0,0.18516873,0.6,0.075,0.7859084,-16.497803,3080.0
154,0.09657712,0.18005174,3100.0,0.18526423,0.25,0.15000000000000002,0.7859988,-14.374212,3100.0
155,0.096716605,0.1800712,3120.0,0.1853783,0.65,0.1,0.7861161,-19.17818,3120.0
156,0.09684203,0.18008682,3140.0,0.18548745,0.275,0.125,0.78618556,-17.687489,3140.0
157,0.09684061,0.18013476,3160.0,0.18547142,0.4,0.125,0.7863443,-17.46566,3160.0
158,0.09699266,0.18017933,3180.0,0.18575127,0.6,0.05,0.78643346,-15.236529,3180.0
159,0.09705302,0.18021633,3200.0,0.18602157,0.275,0.15000000000000002,0.7864526,-12.147705,3200.0
160,0.09725839,0.1802476,3220.0,0.18637575,0.6,0.1,0.7865341,-14.561741,3220.0
161,0.09736415,0.180227,3240.0,0.18645823,0.45,0.05,0.7866132,-14.60451,3240.0
162,0.09766285,0.18025392,3260.0,0.18662995,0.4,0.1,0.78660625,-13.14077,3260.0
163,0.097975485,0.18032724,3280.0,0.18688153,0.55,0.15,0.78667027,-16.043045,3280.0
164,0.098110326,0.18035255,3300.0,0.18689929,0.25,0.175,0.7866247,-16.131557,3300.0
165,0.098133326,0.18036073,3320.0,0.18705046,0.55,0.1,0.7866847,-13.127199,3320.0
166,0.09827523,0.18040882,3340.0,0.18735635,0.40,0.15000000000000002,0.786817,-16.644337,3340.0
167,0.09840014,0.1804508,3360.0,0.1874799,0.30,0.15000000000000002,0.7869885,-15.16758,3360.0
168,0.09866414,0.18052843,3380.0,0.18771277,0.55,0.05,0.7872518,-17.529655,3380.0
169,0.09870312,0.18058771,3400.0,0.18765306,0.35,0.07500000000000001,0.7874363,-15.732786,3400.0
170,0.09895394,0.18060556,3420.0,0.18767641,0.25,0.2,0.78744537,-15.586668,3420.0
171,0.09919205,0.18065423,3440.0,0.18792927,0.25,0.07500000000000001,0.7876494,-13.546743,3440.0
172,0.09929337,0.18065944,3460.0,0.18811591,0.275,0.125,0.7876637,-16.403858,3460.0
173,0.09945825,0.18064861,3480.0,0.1882406,0.425,0.125,0.7877113,-17.363674,3480.0
174,0.099556185,0.1806563,3500.0,0.1882879,0.35,0.025,0.7876937,-16.426426,3500.0
175,0.09962713,0.18070863,3520.0,0.18817592,0.22499999999999998,0.125,0.7878333,-17.373318,3520.0
176,0.09981305,0.18074186,3540.0,0.18834662,0.35,0.1,0.7880209,-16.091482,3540.0
177,0.10001239,0.18076956,3560.0,0.1882683,0.32499999999999996,0.025,0.7882116,-13.492054,3560.0
178,0.100178346,0.18081622,3580.0,0.18836819,0.30000000000000004,0.175,0.7882661,-15.259979,3580.0
179,0.10028041,0.18084389,3600.0,0.18853337,0.4,0.05,0.78826165,-14.543705,3600.0
180,0.1003448,0.18086351,3620.0,0.18850611,0.55,0.175,0.788387,-15.084187,3620.0
181,0.10038819,0.18091139,3640.0,0.1883999,0.20,0.125,0.78863907,-17.018147,3640.0
182,0.10044084,0.18096286,3660.0,0.18833296,0.4,0.15000000000000002,0.78875256,-15.504866,3660.0
183,0.1004297,0.18103291,3680.0,0.18820868,0.425,0.175,0.78900343,-13.583732,3680.0
184,0.10050294,0.18101667,3700.0,0.18807125,0.35,0.175,0.78909403,-15.24238,3700.0
185,0.100596525,0.18104218,3720.0,0.18804954,0.35,0.1,0.7893329,-16.585255,3720.0
186,0.10063302,0.18109813,3740.0,0.18792816,0.35,0.25,0.7895221,-14.245323,3740.0
187,0.100561924,0.18111585,3760.0,0.18777008,0.25,0.125,0.7896331,-15.143688,3760.0
188,0.10056262,0.1811611,3780.0,0.18772095,0.475,0.22499999999999998,0.7897973,-14.741434,3780.0
189,0.10076476,0.1811834,3800.0,0.18781443,0.30,0.2,0.79003835,-14.462794,3800.0
190,0.100690626,0.18122293,3820.0,0.1876689,0.5,0.15000000000000002,0.790149,-15.145801,3820.0
